Title,Price,State,Shipping Fee,Country
New ListingApple iPhone XS - 64GB - Gold (Unlocked) A1920 (CDMA + GSM),$650.00,Pre-Owned,Shipping not specified,from United States
"New ListingApple iPhone XR 64gb Coral-Refurbished with Warranty-Grade ""as new""",$253.03,Refurbished,Shipping not specified,from Italy
New ListingApple iPhone 7 - 128GB - Jet Black (Unlocked) A1778 (GSM),$332.94,Pre-Owned,Shipping not specified,from United Kingdom
New ListingApple iPhone XS Max - 512GB - Space Gray (Unlocked) A1921 (CDMA + GSM),$612.04,Pre-Owned,Shipping not specified,from United States
New ListingApple iPhone 11 - 64GB - Purple (Unlocked) A2111 (CDMA + GSM),$619.25 to $785.72,Pre-Owned,Shipping not specified,from United States
New ListingApple iPhone X - 64GB - Space Grey (Unlocked),$160.00,Pre-Owned,Shipping not specified,from United Kingdom
New Listingat&t iphone 10 8 7 plus 11 12 pro max xs xr x  apple Factory Unlock Service Fast,$285.00,Brand New,Free International Shipping,from United States
Apple iPhone 11 - 64GB - Black (Unlocked) ,$374.02,Pre-Owned,Shipping not specified,from United Kingdom
New ListingiPhone XR 64gb,$119.86,Pre-Owned,Shipping not specified,from United Kingdom
New ListingApple iPhone SE 2nd Gen. (PRODUCT)RED - 256GB (Unlocked) ,$278.00,Pre-Owned,Shipping not specified,from United Kingdom
Apple iPhone 8  64/256 GB Smartphone (Unlocked)  >>Excellent Condition << ,$450.00,Excellent - Refurbished,Shipping not specified,from Canada
"Smartphone Apple iPhone 13 5g 256gb IOS 15 display problems 6.1"" NEW",$465.00,Brand New,Shipping not specified,from Italy
Apple iPhone 6 64GB Verizon Unlocked  Gold/Silver/Gray LTE Smartphone,$266.35,Pre-Owned,Shipping not specified,from United States
Apple iPhone 7 - 32GB - Black (FULLY Unlocked) A1660 (CDMA + GSM),$7.50,Pre-Owned,Shipping not specified,from United States
